,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
81,9,12.15,"M.Chapoutier, 'Belleruche' Côtes-du-Rhône Blanc",https://www.i-d-s.com/dubai/m-chapoutier-belleruche-c-tes-du-rh-ne-blanc-fr1270.html,france,https://www.vivino.com/FR/en/wines/1472731,3.7,M. Chapoutier Belleruche Côtes-du-Rhône Blanc 0,—,france,cotes-du-rhone,10652,4
82,10,10.70,"M.Chapoutier, Luberon 'La Ciboise' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-luberon-la-ciboise-blanc-fr1269.html,france,https://www.vivino.com/FR/en/wines/2002648,3.5,M. Chapoutier Luberon La Ciboise Blanc 0,8.50,france,luberon,2622,9
83,11,19.99,"M.Chapoutier, Saint-Péray 'Les Tanneurs'",https://www.i-d-s.com/dubai/m-chapoutier-saint-p-ray-les-tanneurs-fr1268.html,france,https://www.vivino.com/FR/en/wines/2859969,3.8,M. Chapoutier Saint-Péray Les Tanneurs 0,18.90,france,saint-peray,1040,4
84,0,19.99,"M.Chapoutier, Saint-Joseph 'Deschants' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-blanc-fr1266.html,france,https://www.vivino.com/FR/en/wines/2947722,3.8,M. Chapoutier Saint-Joseph Deschants Blanc 0,—,france,saint-joseph,1432,4
85,1,21.05,"Domaine Trénel, Viré Clessé Chardonnay, Vin de Bourgogne",https://www.i-d-s.com/dubai/domaine-tr-nel-vir-cless-chardonnay-vin-de-bourgogne-fr1261.html,france,https://www.vivino.com/FR/en/wines/144587348,4.0,Domaine de l'Epinet Gramont Chardonnay 0,—,france,vire-clesse,228,4
86,2,14.70,"Domaine Trénel, Beaujolais Blanc",https://www.i-d-s.com/dubai/domaine-tr-nel-beaujolais-blanc-fr1260.html,france,https://www.vivino.com/FR/en/wines/10321776,3.5,Domaine la Croix Tréchens Le Jardin des Enfants Beaujolais Blanc 0,—,france,beaujolais,288,3
87,3,16.35,"Domaine Bila-Haut, 'Occultum Lapidem', Côtes-du-Roussillon Blanc",https://www.i-d-s.com/dubai/domaine-bila-haut-occultum-lapidem-c-tes-du-roussillon-blanc-fr1283.html,france,https://www.vivino.com/FR/en/wines/154838597,3.7,M. Chapoutier Domaine de Bila-Haut Occultum Lapidem Blanc 0,15.00,france,cotes-du-roussillon-villages-latour-de-france,241,3
88,4,164.55,Remoissenet Père &amp; Fils Chambolle Musigny Les Charmes,https://www.i-d-s.com/dubai/remoissenet-chambolle-musigny-les-charmes-fr1285.html,france,https://www.vivino.com/FR/en/wines/146683553,4.3,Remoissenet Père \u0026 Fils Les Charmes Chambolle-Musigny 1er Cru 0,150.40,france,chambolle-musigny-premier-cru,75,3
89,5,40.05,Dubreuil -Fontaine Pernand Vergelesses Rouge,https://www.i-d-s.com/dubai/pernand-vergelesses-rouge-dubreuil-fontaine-fr1246.html,france,https://www.vivino.com/FR/en/wines/160082327,4.0,Domaine Dubreuil-Fontaine Pernand-Vergelesses Rouge 0,—,france,pernand-vergelesses,187,3
90,6,41.99,"Chateau Pontac Lynch Cru, Bourgeois",https://www.i-d-s.com/dubai/chateau-pontac-lynch-cru-bourgeois-ex1020.html,france,https://www.vivino.com/FR/en/wines/134644422,0.0,Pontaclynch Margaux Cru Bourgeois 0,—,france,pauillac,64681,0
